service	port
dhcp-failover	647
rrp	648
aminet	649
obex	650
ieee-mms	651
hello-port	652
repscmd	653
aodv	654
tinc	655
spmp	656
rmc	657
tenfold	658
url-rendezvous	659
mac-srvr-admin	660
hap	661
NokNok	661
pftp	662
purenoise	663
secure-aux-bus	664
sun-dr	665
AttackFTP	666
BackConstruction	666
BLAtrojan	666
Cain&amp;Abel	666
doom	666
lpdw0rm	666
mdqs	666
NokNok	666
SatansBackDoor	666
ServU	666
ShadowPhyre	666
th3r1pp3rz	666
disclose	667
SniperNet	667
mecomm	668
th3r1pp3rz	668
DPtrojan	669
meregister	669
vacdsm-sws	670
vacdsm-app	671
vpps-qua	672
cimplex	673
acap	674
dctp	675
vpps-via	676
vpp	677
ggf-ncp	678
mrm	679
entrust-aaas	680
entrust-aams	681
xfr	682
corba-iiop	683
corba-iiop-ssl	684
mdc-portmapper	685
hcp-wismar	686
asipregistry	687
realm-rusd	688
nmap	689
SLDAP	689
vatp	690
msexch-routing	691
GayOL	692
hyperwave-isp	692
connendp	693
ha-cluster	694
ieee-mms-ssl	695
rushd	696
uuidgen	697
olsr	698
accessnetwork	699
elcsd	704
agentx	705
silc	706
borland-dsj	707
entrust-kmsh	709
entrust-ash	710
cisco-tdp	711
netviewdm1	729
netviewdm2	730
netviewdm3	731
netcp	740
netgw	741
netrcs	742
flexlm	744
fujitsu-dev	747
ris-cm	748
kerberos-adm	749
kerberos	750
rfile	750
kerberos_master	751
pump	751
qrh	752
rrh	753
krb_prop	754
tell	754
nlogin	758
con	759
krbupdate	760
ns	760
kpasswd	761
rxe	761
quotad	762
cycleserv	763
omserv	764
webster	765
phonebook	767
vid	769
cadlock	770
rtip	771
cycleserv2	772
submit	773
rpasswd	774
entomb	775
wpages	776
jconfig	777
wpgs	780
hp-collector	781
hp-managed-node	782
hp-alarm-mgr	783
concert	786
qsc	787
controlit	799
mdbs_daemon	800
device	801
WinHole	808
fcp-udp	810
itm-mcell-s	828
pkix-3-ca-ra	829
dhcp-failover2	847
supfilesrv	871
rsync	873
iclcnet-locate	886
iclcnet_svinfo	887
accessbuilder	888
cddbp	888
omginitialrefs	900
realsecure	901
samba-swat	901
smpnameres	901
ideafarm-chat	902
ideafarm-catch	903
DarkShadow	911
xact-backup	911
securenet	975
ftps-data	989
ftps	990
nas	991
telnets	992
imaps	993
ircs	994
pop3s	995
icq	1027
sbininitd	1049
/sbin/initd	1049
td-postman	1049
cma	1050
MiniCommand	1050
optima-vnet	1051
ddt	1052
remote-as	1053
TheThief	1053
AckCmd	1054
brvread	1054
ansyslmd	1055
vfo	1056
startron	1057
nim	1058
nimreg	1059
polestar	1060
kiosk	1061
veracity	1062
kyoceranetdev	1063
jstel	1064
syscomlan	1065
fpo-fns	1066
instl_boots	1067
instl_bootc	1068
cognex-insight	1069
gmrupdateserv	1070
bsquare-voip	1071
cardax	1072
bridgecontrol	1073
fastechnologlm	1074
rdrmshc	1075
dab-sti-c	1076
imgames	1077
emanagecstp	1078
asprovatalk	1079
socks	1080
pvuniwien	1081
WinHole	1081
amt-esd-prot	1082
WinHole	1082
ansoft-lm-1	1083
WinHole	1083
ansoft-lm-2	1084
webobjects	1085
cplscrambler-lg	1086
cplscrambler-in	1087
cplscrambler-al	1088
ff-annunc	1089
ff-fms	1090
Xtreme	1090
ff-sm	1091
obrpd	1092
proofd	1093
rootd	1094
nicelink	1095
RAT	1095
cnrprotocol	1096
RAT	1097
sunclustermgr	1097
RAT	1098
rmiactivation	1098
BloodFestEvolution	1099
RAT	1099
rmiregistry	1099
mctp	1100
pt2-discover	1101
adobeserver-1	1102
adobeserver-2	1103
xaudio	1103
xrl	1104
ftranhc	1105
isoipsigport-1	1106
isoipsigport-2	1107
ratio-adp	1108
kpop	1109
nfsd-status	1110
lmsocialserver	1111
icp	1112
msql	1112
mini-sql	1114
ardus-trns	1115
ardus-cntl	1116
ardus-mtrns	1117
availant-mgr	1122
murray	1123
supfiledbg	1127
noknok	1130
Orion	1150
Orion	1151
nfa	1155
health-polling	1161
health-trap	1162
tripwire	1169
PsyberStreamServer	1170
StreamingAudioServer	1170
Voice	1170
DaCryptic	1174
skkserv	1178
mc-client	1180
Unin68	1180
laplink-ssl	1183
laplink	1184
hp-webadmin	1188
scol	1200
nucleus-sand	1201
caiccipc	1202
ssslic-mgr	1203
ssslog-mgr	1204
accord-mgc	1205
anthony-data	1206
metasage	1207
SoftWAR	1207
Infector	1208
seagull-ais	1208
ipcd3	1209
eoss	1210
groove-dpp	1211
Kaos	1212
lupa	1212
mpc-lifenet	1213
kazaa	1214
Morpheous	1214
Grokster	1214
scanstat-1	1215
etebac5	1216
hpss-ndapi	1217
aeroflight-ads	1218
aeroflight-ret	1219
qt-serveradmin	1220
sweetware-apps	1221
nerv	1222
tgp	1223
vpnz	1224
slinkysearch	1225
stgxfws	1226
dns2go	1227
florence	1228
novell-zfs	1229
periscope	1230
menandmice-lpm	1231
univ-appserver	1233
hotline	1234
search-agent	1234
SubSevenJavaclient	1234
UltorsTrojan	1234
mosaicsyssvc1	1235
bvcontrol	1236
tsdos390	1237
hacl-qs	1238
nmsd	1239
instantia	1240
msg	1241
nessus	1241
nmasoverip	1242
BackDoorG	1243
BackDoor-G	1243
serialgateway	1243
SubSevenApocalypse	1243
SubSeven	1243
Tiles	1243
isbconference1	1244
isbconference2	1245
VooDooDoll	1245
payrouter	1246
visionpyramid	1247
hermes	1248
mesavistaco	1249
swldy-sias	1250
servergraph	1251
bspne-pcc	1252
q55-pcc	1253
de-noc	1254
de-cache-query	1255
Scarab	1255
de-server	1256
ProjectnEXT	1256
RexxRave	1256
shockwave2	1257
opennl	1258
opennl-voice	1259
ibm-ssd	1260
mpshrsv	1261
qnts-orb	1262
dka	1263
prat	1264
dssiapi	1265
dellpwrappks	1266
pcmlinux	1267
propel-msgsys	1268
Matrix	1269
watilapp	1269
opsman	1270
dabew	1271
cspmlockmgr	1272
TheMatrix	1272
emc-gateway	1273
t1distproc	1274
ivcollector	1275
ivmanager	1276
miva-mqs	1277
dellwebadmin-1	1278
dellwebadmin-2	1279
pictrography	1280
healthd	1281
emperion	1282
productinfo	1283
iee-qfx	1284
neoiface	1285
netuitive	1286
navbuddy	1288
jwalkserver	1289
winjaserver	1290
seagulllms	1291
dsdn	1292
pkt-krb-ipsec	1293
cmmdriver	1294
eetp	1295
dproxy	1296
sdproxy	1297
lpcp	1298
hp-sci	1299
h323hostcallsc	1300
ci3-software-1	1301
ci3-software-2	1302
sftsrv	1303
boomerang	1304
pe-mike	1305
re-conn-proto	1306
pacmand	1307
odsi	1308
jtag-server	1309
husky	1310
rxmon	1311
sti-envision	1312
bmc_patroldb	1313
NETrojan	1313
pdps	1314
els	1315
exbit-escp	1316
vrts-ipcserver	1317
krb5gatekeeper	1318
panja-icsp	1319
panja-axbnet	1320
pip	1321
novation	1322
brcd	1323
delta-mcp	1324
dx-instrument	1325
wimsic	1326
ultrex	1327
ewall	1328
netdb-export	1329
streetperfect	1330
intersan	1331
pcia-rxp-b	1332
passwrd-policy	1333
writesrv	1334
digital-notary	1335
ischat	1336
menandmice-dns	1337
Shadyshell	1337
MilleniumWorm	1338
MillenniumWorm	1338
wmc-log-svc	1338
kjtsiteserver	1339
naap	1340
qubes	1341
esbroker	1342
re101	1343
icap	1344
vpjp	1345
alta-ana-lm	1346
bbn-mmc	1347
bbn-mmx	1348
Bodll	1349
sbook	1349
editbench	1350
equationbuilder	1351
lotusnote	1352
relief	1353
rightbrain	1354
intuitive-edge	1355
cuillamartin	1356
pegboard	1357
connlcli	1358
ftsrv	1359
mimer	1360
linx	1361
timeflies	1362
ndm-requester	1363
ndm-server	1364
adapt-sna	1365
netware-csp	1366
dcs	1367
screencast	1368
gv-us	1369
us-gv	1370
fc-cli	1371
fc-ser	1372
chromagrafx	1373
molly	1374
bytex	1375
ibm-pps	1376
cichlid	1377
elan	1378
dbreporter	1379
telesis-licman	1380
apple-licman	1381
udt_os	1382
gwha	1383
os-licman	1384
atex_elmd	1385
checksum	1386
Dagger	1386
cadsi-lm	1387
objective-dbc	1388
iclpv-dm	1389
iclpv-sc	1390
iclpv-sas	1391
iclpv-pm	1392
iclpv-nls	1393
GoFriller	1394
iclpv-nlc	1394
iclpv-wsm	1395
dvl-activemail	1396
audio-activmail	1397
video-activmail	1398
cadkey-licman	1399
cadkey-tablet	1400
goldleaf-licman	1401
prm-sm-np	1402
prm-nm-np	1403
igi-lm	1404
ibm-res	1405
netlabs-lm	1406
dbsa-lm	1407
sophia-lm	1408
here-lm	1409
hiq	1410
af	1411
innosys	1412
innosys-acl	1413
ibm-mqseries	1414
dbstar	1415
novell-lu6.2	1416
timbuktu-srv1	1417
timbuktu-srv2	1418
timbuktu-srv3	1419
timbuktu-srv4	1420
gandalf-lm	1421
autodesk-lm	1422
essbase	1423
hybrid	1424
zion-lm	1425
sais	1426
mloadd	1427
informatik-lm	1428
nms	1429
tpdu	1430
rgtp	1431
blueberry-lm	1432
ms-sql-s	1433
ms-sql-m	1434
ibm-cics	1435
saism	1436
tabula	1437
eicon-server	1438
eicon-x25	1439
eicon-slp	1440
cadis-1	1441
RemoteStorm	1441
cadis-2	1442
ies-lm	1443
marcam-lm	1444
proxima-lm	1445
ora-lm	1446
apri-lm	1447
oc-lm	1448
peport	1449
dwf	1450
infoman	1451
gtegsc-lm	1452
genie-lm	1453
interhdl_elmd	1454
esl-lm	1455
dca	1456
valisys-lm	1457
nrcabq-lm	1458
proshare1	1459
proshare2	1460
ibm_wrless_lan	1461
world-lm	1462
nucleus	1463
msl_lmd	1464
pipes	1465
oceansoft-lm	1466
csdmbase	1467
csdm	1468
aal-lm	1469
uaiact	1470
csdmbase	1471
csdm	1472
openmath	1473
telefinder	1474
taligent-lm	1475
clvm-cfg	1476
ms-sna-server	1477
ms-sna-base	1478
dberegister	1479
pacerforum	1480
airs	1481
miteksys-lm	1482
afs	1483
confluent	1484
lansource	1485
nms_topo_serv	1486
localinfosrvr	1487
docstor	1488
dmdocbroker	1489
insitu-conf	1490
anynetgateway	1491
FTP99CMP	1492
stone-design-1	1492
netmap_lm	1493
citrix-ica	1494
citrix	1494
cvc	1495
liberty-lm	1496
rfx-lm	1497
sybase-sqlany	1498
watcom-sql	1498
fhc	1499
vlsi-lm	1500
saiscm	1501
shivadiscovery	1502
imtc-mcs	1503
Netmeeting	1503
evb-elm	1504
funkproxy	1505
utcd	1506
symplex	1507
diagmond	1508
PsyberStreamingServer	1509
robcad-lm	1509
mvx-lm	1510
3l-l1	1511
wins	1512
fujitsu-dtc	1513
fujitsu-dtcns	1514
ifor-protocol	1515
vpad	1516
vpac	1517
vpvd	1518
vpvc	1519
atm-zip-office	1520
oracle	1521
ricardo-lm	1522
cichild-lm	1523
ingreslock	1524
Trinoo	1524
orasrv	1525
prospero-np	1525
pdap-np	1526
tlisrv	1527
mciautoreg	1528
coauthor	1529
support	1529
rap-service	1530
rap-listen	1531
miroconnect	1532
sametime	1533
micromuse-lm	1534
ampr-info	1535
ampr-inter	1536
W32bckdr	1536
sdsc-lm	1537
3ds-lm	1538
intellistor-lm	1539
rds	1540
rds2	1541
gridgen-elmd	1542
simba-cs	1543
aspeclmd	1544
vistium-share	1545
abbaccuray	1546
laplink	1547
axon-lm	1548
shivahose	1549
3m-image-lm	1550
hecmtl-db	1551
pciarray	1552
sna-cs	1553
caci-lm	1554
livelan	1555
ashwin	1556
arbortext-lm	1557
xingmpeg	1558
web2host	1559
asci-val	1560
facilityview	1561
pconnectmgr	1562
cadabra-lm	1563
pay-per-view	1564
winddlb	1565
corelvideo	1566
jlicelmd	1567
RemoteHack	1568
tsspmap	1568
ets	1569
orbixd	1570
rdb-dbs-disp	1571
chip-lm	1572
itscomm-ns	1573
kazaa	1574
oraclenames	1575
moldflow-lm	1576
hypercube-lm	1577
jacobus-lm	1578
ioc-sea-lm	1579
tn-tl-r1	1580
mil-2045-47001	1581
msims	1582
simbaexpress	1583
tn-tl-fd2	1584
intv	1585
ibm-abtact	1586
pra_elmd	1587
triquest-lm	1588
vqp	1589
gemini-lm	1590
ncpm-pm	1591
commonspace	1592
mainsoft-lm	1593
sixtrak	1594
radio	1595
radio-sm	1596
orbplus-iiop	1597
picknfs	1598
simbaservices	1599
DirectConnection	1600
issd	1600
ShivkaBurka	1600
Shivka-Burka	1600
aas	1601
inspect	1602
picodbc	1603
icabrowser	1604
slp	1605
slm-api	1606
stt	1607
smart-lm	1608
isysg-lm	1609
taurus-wh	1610
ill	1611
netbill-trans	1612
netbill-keyrep	1613
netbill-cred	1614
netbill-auth	1615
netbill-prod	1616
nimrod-agent	1617
skytelnet	1618
xs-openstorage	1619
faxportwinport	1620
softdataphone	1621
ontime	1622
jaleosnd	1623
udp-sr-port	1624
svs-omagent	1625
shockwave	1626
t128-gateway	1627
lontalk-norm	1628
lontalk-urgnt	1629
oraclenet8cman	1630
visitview	1631
pammratc	1632
pammrpc	1633
loaprobe	1634
edb-server1	1635
cncp	1636
cnap	1637
cnip	1638
cert-initiator	1639
cert-responder	1640
invision	1641
isis-am	1642
isis-ambc	1643
saiseh	1644
datametrics	1645
sa-msg-port	1646
rsap	1647
concurrent-lm	1648
kermit	1649
nkd	1650
shiva_confsrvr	1651
xnmp	1652
alphatech-lm	1653
stargatealerts	1654
dec-mbadmin	1655
dec-mbadmin-h	1656
fujitsu-mmpdc	1657
sixnetudr	1658
sg-lm	1659
skip-mc-gikreq	1660
netview-aix-1	1661
netview-aix-2	1662
netview-aix-3	1663
netview-aix-4	1664
netview-aix-5	1665
netview-aix-6	1666
netview-aix-7	1667
netview-aix-8	1668
netview-aix-9	1669
netview-aix-10	1670
netview-aix-11	1671
netview-aix-12	1672
proshare-mc-1	1673
proshare-mc-2	1674
pdp	1675
netcomm1	1676
groupwise	1677
prolink	1678
darcorp-lm	1679
carboncopy	1680
microcom-sbp	1680
sd-elmd	1681
lanyon-lantern	1682
ncpm-hip	1683
snaresecure	1684
n2nremote	1685
cvmon	1686
nsjtp-ctrl	1687
nsjtp-data	1688
firefox	1689
ng-umds	1690
empire-empuma	1691
sstsys-lm	1692
rrirtr	1693
rrimwm	1694
rrilwm	1695
rrifmm	1696
rrisat	1697
rsvp-encap-1	1698
rsvp-encap-2	1699
mps-raft	1700
l2f	1701
deskshare	1702
Exploiter	1703
hb-engine	1703
bcs-broker	1704
slingshot	1705
jetform	1706
vdmplay	1707
gat-lmd	1708
centra	1709
impera	1710
pptconference	1711
registrar	1712
conferencetalk	1713
sesi-lm	1714
houdini-lm	1715
xmsg	1716
fj-hdnet	1717
h323gatedisc	1718
h323gatestat	1719
h323hostcall	1720
caicci	1721
hks-lm	1722
pptp	1723
csbphonemaster	1724
iden-ralp	1725
iberiagames	1726
winddx	1727
telindus	1728
citynl	1729
roketz	1730
msiccp	1731
proxim	1732
siipat	1733
cambertx-lm	1734
privatechat	1735
street-stream	1736
ultimad	1737
gamegen1	1738
webaccess	1739
encore	1740
cisco-net-mgmt	1741
3Com-nsd	1742
cinegrfx-lm	1743
ncpm-ft	1744
remote-winsock	1745
ftrapid-1	1746
ftrapid-2	1747
oracle-em1	1748
aspen-services	1749
sslp	1750
swiftnet	1751
lofr-lm	1752
translogic-lm	1753
oracle-em2	1754
ms-streaming	1755
capfast-lmd	1756
cnhrp	1757
tftp-mcast	1758
spss-lm	1759
www-ldap-gw	1760
sms	1761
cft-0	1761
sms	1762
cft-1	1762
sms	1763
cft-2	1763
sms	1764
cft-3	1764
cft-4	1765
cft-5	1766
cft-7	1768
bmc-net-adm	1769
bmc-net-svc	1770
vaultbase	1771
essweb-gw	1772
kmscontrol	1773
global-dtserv	1774
femis	1776
powerguardian	1777
Scarab	1777
prodigy-intrnet	1778
pharmasoft	1779
dpkeyserv	1780
answersoft-lm	1781
hp-hcip	1782
finle-lm	1784
windlm	1785
funk-logger	1786
funk-license	1787
psmond	1788
hello	1789
nmsp	1790
ea1	1791
ibm-dt-2	1792
rsc-robot	1793
cera-bcm	1794
dpi-proxy	1795
vocaltec-admin	1796
uma	1797
etp	1798
netrisk	1799
ansys-lm	1800
msmq	1801
concomp1	1802
hp-hcip-gwy	1803
enl	1804
enl-name	1805
musiconline	1806
fhsp	1807
SpySender	1807
oracle-vp2	1808
oracle-vp1	1809
jerand-lm	1810
scientia-sdb	1811
radius	1812
radius-acct	1813
tdp-suite	1814
mmpft	1815
harp	1816
rkb-oscs	1817
etftp	1818
plato-lm	1819
mcagent	1820
donnyworld	1821
es-elmd	1822
unisys-lm	1823
metrics-pas	1824
direcpc-video	1825
ardt	1826
Glacier	1826
asi	1827
pcm	1827
itm-mcell-u	1828
optika-emedia	1829
net8-cman	1830
myrtle	1831
tht-treasure	1832
udpradio	1833
ardusuni	1834
ardusmul	1835
ste-smsc	1836
csoft1	1837
talnet	1838
netopia-vo1	1839
netopia-vo2	1840
netopia-vo3	1841
netopia-vo4	1842
netopia-vo5	1843
direcpc-dll	1844
altalink	1845
tunstall-pnc	1846
slp-notify	1847
fjdocdist	1848
alpha-sms	1849
gsi	1850
ctcd	1851
virtual-time	1852
vids-avtp	1853
buddy-draw	1854
fiorano-rtrsvc	1855
fiorano-msgsvc	1856
datacaptor	1857
privateark	1858
gammafetchsvr	1859
sunscalar-svc	1860
lecroy-vicp	1861
techra-server	1862
msnp	1863
paradym-31port	1864
entp	1865
swrmi	1866
udrive	1867
viziblebrowser	1868
yestrader	1869
sunscalar-dns	1870
canocentral0	1871
canocentral1	1872
fjmpjps	1873
fjswapsnp	1874
westell-stats	1875
ewcappsrv	1876
hp-webqosdb	1877
drmsmc	1878
nettgain-nms	1879
vsat-control	1880
ibm-mqseries2	1881
ecsqdmn	1882
ibm-mqisdp	1883
idmaps	1884
vrtstrapserver	1885
leoip	1886
filex-lport	1887
ncconfig	1888
unify-adapter	1889
wilkenlistener	1890
childkey-notif	1891
childkey-ctrl	1892
elad	1893
o2server-port	1894
b-novative-ls	1896
metaagent	1897
cymtec-port	1898
mc2studios	1899
ssdp	1900
fjicl-tep-a	1901
fjicl-tep-b	1902
linkname	1903
fjicl-tep-c	1904
sugp	1905
tpmd	1906
intrastar	1907
dawn	1908
global-wlink	1909
ultrabac	1910
mtp	1911
rhp-iibp	1912
armadp	1913
elm-momentum	1914
facelink	1915
